序號,城市,匹克球場地,開放時間,室內/戶外,收費,備註
85,新北市蘆洲區,蘆洲運動中心,二 13:00-16:00,室內,是,有新手友善
86,新竹市,三民公園,全天,室外,否,
87,新竹市,台電運動場,三 18:00-20:00,室內,未知,
88,新竹市,西門國小,二 18:00-20:00     四 18:00-20:00,室內,未知,
89,新竹縣,敏實科大羽球館,三、五 19:30-21:30,室內,未知,
90,新竹縣,東興國中,二 19:00-21:00     四 19:00-21:00     日 07:30-11:30,室內,未知,
91,新竹縣,竹北國民運動中心,六 18:30-21:30,室內,未知,
92,新竹縣,芎林公三,全天,室外,否,
93,桃園市,TT Sports 綜合運動館,六 15:30-18:30 日 19:00-22:00,室內,是,
94,桃園市,元智大學,不固定 (需事先約定),室內,是,
95,桃園市,南昌公園,全天,室外,否,
96,桃園市,南美天幕,全天,風雨,否,
97,桃園市,富暘羽球旗艦館匹克球場,08:00-22:00,室內,是,
98,桃園市,樂活匹克球俱樂部,06:00-23:00,室內,是,有新手友善、新手教學
99,花蓮縣,北昌國小,六 16:30-18:30     日 14:00-16:00,室內,是,
100,雲林縣,公誠國小,二、日,室內,未知,
101,雲林縣,四湖公園,未知,室外,未知,
102,雲林縣,土庫鎮永年高中,07:00-09:00,室外,是,
103,雲林縣,雲科大,未知,室外,未知,
104,高雄市,三民公園,"三 18:00-21:00 
日 18:00-21:00",室外,未知,自備球網
105,高雄市,力羽美羽球會館,二 15:00-18:00,室內,是,
106,高雄市,大同國小,18:30-21:30,室內,是,
107,高雄市,正勤活動中心,一、三17:00-20:00,室內,未知,
108,高雄市,輔仁路匹克球場,二、三、五、六、日,室外,否,
109,高雄市,鳳山高中,平日 17:00-21:00  假日 09:00-21:00,室內,未知,
110,高雄市,鼓山區匹克球專用球場,16:00-20:00,室外,否,
